dec_year,basis,node,official,estimated,est_minus_official,official_rolled,rolled_minus_official
2017,new,core,79.103,,,,
2017,new,food,13.384,13.379,-0.005,,
2017,new,energy,7.513,7.513,0.0,,
2017,new,core_goods,19.849,19.8437,-0.0053,,
2017,new,core_services,59.254,59.2642,0.0102,,
2017,new,commodities,37.327,37.3287,0.0017,,
2017,new,services,62.673,62.6713,-0.0017,,
2017,new,food_home,7.382,7.3805,-0.0015,,
2017,new,food_away,6.002,5.9985,-0.0035,,
2017,new,energy_cmdty,4.094,4.0939,-0.0001,,
2017,new,energy_svc,3.419,3.4191,0.0001,,
2017,new,rent_shelter,32.468,32.4766,0.0086,,
2017,new,svc_less_ros,30.205,30.1947,-0.0103,,
2018,new,headline,100.0,100.0,0.0,,
2018,new,core,79.312,,,,
2018,new,food,13.341,13.2966,-0.0444,,
2018,new,energy,7.347,7.3478,0.0008,,
2018,new,core_goods,19.503,19.5287,0.0257,,
2018,new,core_services,59.809,59.8269,0.0179,,
2018,new,commodities,36.791,36.8009,0.0099,,
2018,new,services,63.209,63.1991,-0.0099,,
2018,new,food_home,7.286,7.2609,-0.0251,,
2018,new,food_away,6.055,6.0358,-0.0192,,
2018,new,energy_cmdty,3.947,3.9473,0.0003,,
2018,new,energy_svc,3.4,3.4005,0.0005,,
2018,new,rent_shelter,32.884,32.8713,-0.0127,,
2018,new,svc_less_ros,30.325,30.3278,0.0028,,
2019,new,headline,100.0,100.0,0.0,,
2019,new,core,79.524,,,,
2019,new,food,13.771,13.7818,0.0108,,
2019,new,energy,6.706,6.7067,0.0007,,
2019,new,core_goods,20.137,20.1319,-0.0051,,
2019,new,core_services,59.387,59.3795,-0.0075,,
2019,new,commodities,37.518,37.512,-0.006,,
2019,new,services,62.482,62.488,0.006,,
2019,new,food_home,7.579,7.5846,0.0056,,
2019,new,food_away,6.191,6.1972,0.0062,,
2019,new,energy_cmdty,3.61,3.6103,0.0003,,
2019,new,energy_svc,3.096,3.0964,0.0004,,
2019,new,rent_shelter,32.787,32.7819,-0.0051,,
2019,new,svc_less_ros,29.696,29.7061,0.0101,,
2020,new,headline,100.0,100.0,0.0,,
2020,new,core,79.726,,,,
2020,new,food,14.119,14.1035,-0.0155,,
2020,new,energy,6.155,6.1527,-0.0023,,
2020,new,core_goods,20.2,20.2093,0.0093,,
2020,new,core_services,59.526,59.5345,0.0085,,
2020,new,commodities,37.339,37.3379,-0.0011,,
2020,new,services,62.661,62.6621,0.0011,,
2020,new,food_home,7.772,7.7585,-0.0135,,
2020,new,food_away,6.347,6.345,-0.002,,
2020,new,energy_cmdty,3.02,3.019,-0.001,,
2020,new,energy_svc,3.135,3.1337,-0.0013,,
2020,new,rent_shelter,32.95,32.961,0.011,,
2020,new,svc_less_ros,29.711,29.7011,-0.0099,,
2021,new,headline,100.0,100.0,0.0,,
2021,new,core,79.282,,,,
2021,new,food,13.37,13.3791,0.0091,,
2021,new,energy,7.348,7.3485,0.0005,,
2021,new,core_goods,21.699,21.7007,0.0017,,
2021,new,core_services,57.583,57.5717,-0.0113,,
2021,new,commodities,39.083,39.0889,0.0059,,
2021,new,services,60.917,60.9111,-0.0059,,
2021,new,food_home,8.165,8.1709,0.0059,,
2021,new,food_away,5.205,5.2082,0.0032,,
2021,new,energy_cmdty,4.014,4.0146,0.0006,,
2021,new,energy_svc,3.334,3.3338,-0.0002,,
2021,new,rent_shelter,32.563,32.5596,-0.0034,,
2021,new,svc_less_ros,28.354,28.3515,-0.0025,,
2021,old,headline,100.0,100.0,0.0,100.0,0.0
2021,old,core,78.546,,,,
2021,old,food,14.018,14.0031,-0.0149,14.0185,0.0005
2021,old,energy,7.435,7.4323,-0.0027,7.435,0.0
2021,old,core_goods,20.889,20.899,0.01,20.8893,0.0003
2021,old,core_services,57.657,57.6658,0.0088,57.6576,0.0006
2021,old,commodities,39.11,39.1091,-0.0009,39.1102,0.0002
2021,old,services,60.89,60.8911,0.0011,60.8901,0.0001
2021,old,food_home,7.732,7.7188,-0.0132,7.7322,0.0002
2021,old,food_away,6.287,6.2843,-0.0027,6.2864,-0.0006
2021,old,energy_cmdty,4.203,4.2009,-0.0021,4.2024,-0.0006
2021,old,energy_svc,3.233,3.2313,-0.0017,3.2326,-0.0004
2021,old,rent_shelter,32.073,32.0837,0.0107,32.073,-0.0
2021,old,svc_less_ros,28.817,28.8075,-0.0095,28.8171,0.0001
2022,new,headline,100.0,100.0,0.0,,
